nom produit,numero AMM,Substances actives,identifiant usage,etat usage,dose retenue,dose retenue unite,delai avant recolte jour
DECIS PROTECH,2010023,deltaméthrine (Deltamethrin) 15.0 g/L,Maïs*Trt Part.Aer.*Chenilles phytophages,Autorisé,0.83,L/ha,30.0
DECIS PROTECH,2010023,deltaméthrine (Deltamethrin) 15.0 g/L,Maïs*Trt Part.Aer.*Cicadelles,Autorisé,0.83,L/ha,30.0
DECIS PROTECH,2010023,deltaméthrine (Deltamethrin) 15.0 g/L,Maïs*Trt Part.Aer.*Pyrale(s) (1),Autorisé,0.83,L/ha,30.0
DECIS PROTECH,2010023,deltaméthrine (Deltamethrin) 15.0 g/L,Maïs*Trt Sol*Ravageurs du sol,Autorisé,0.5,L/ha,30.0
DECIS PROTECH,2010023,deltaméthrine (Deltamethrin) 15.0 g/L,Maïs doux*Trt Part.Aer.*Chenilles phytophages,Autorisé,0.83,L/ha,3.0
LAUNCHER,2260085,zoxamide (Zoxamide) 460.0 g/L,Tournesol*Trt Sem.*Champignons (pythiacées),Autorisé,0.01,L/q,
METFIN 90,2190907,metconazole (Metconazole) 90.0 g/L,Orge*Trt Part.Aer.*Oïdium(s),Autorisé,1.0,L/ha,35.0
METFIN 90,2190907,metconazole (Metconazole) 90.0 g/L,Orge*Trt Part.Aer.*Rhynchosporiose,Autorisé,1.0,L/ha,35.0
METFIN 90,2190907,metconazole (Metconazole) 90.0 g/L,Orge*Trt Part.Aer.*Rouille(s),Autorisé,1.0,L/ha,35.0
METFIN 90,2190907,metconazole (Metconazole) 90.0 g/L,Blé*Trt Part.Aer.*Fusarioses,Autorisé,1.0,L/ha,35.0
METFIN 90,2190907,metconazole (Metconazole) 90.0 g/L,Blé*Trt Part.Aer.*Oïdium(s),Autorisé,1.0,L/ha,35.0
METFIN 90,2190907,metconazole (Metconazole) 90.0 g/L,Blé*Trt Part.Aer.*Rouille(s),Autorisé,1.0,L/ha,35.0
METFIN 90,2190907,metconazole (Metconazole) 90.0 g/L,Blé*Trt Part.Aer.*Septoriose(s),Autorisé,1.0,L/ha,35.0
SPIRATO 25 FS,2170703,fludioxonil (Fludioxonil) 25.0 g/L,Tournesol*Trt Sem.*Champignons (autres que pythiacées),Autorisé,0.6,L/q,
SPIRATO 25 FS,2170703,fludioxonil (Fludioxonil) 25.0 g/L,Orge*Trt Sem.*Champignons (autres que pythiacées),Autorisé,0.2,L/q,
SPIRATO 25 FS,2170703,fludioxonil (Fludioxonil) 25.0 g/L,Blé*Trt Sem.*Champignons (autres que pythiacées),Autorisé,0.2,L/q,
PRIAM TOP,2150253,tébuconazole (Tebuconazole) 250.0 g/L,Orge*Trt Part.Aer.*Rhynchosporiose,Autorisé,1.0,L/ha,35.0
PRIAM TOP,2150253,tébuconazole (Tebuconazole) 250.0 g/L,Blé*Trt Part.Aer.*Fusarioses,Autorisé,1.0,L/ha,35.0
PRIAM TOP,2150253,tébuconazole (Tebuconazole) 250.0 g/L,Blé*Trt Part.Aer.*Rouille(s),Autorisé,1.0,L/ha,35.0
NICOZEA,2090101,nicosulfuron (Nicosulfuron) 40.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,
BASTION,2010240,florasulame (Florasulam) 2.5 g/L | fluroxypyr-méptyl (Fluroxypyr) 144.1 g/L,Orge*Désherbage,Autorisé,1.5,L/ha,
BASTION,2010240,florasulame (Florasulam) 2.5 g/L | fluroxypyr-méptyl (Fluroxypyr) 144.1 g/L,Orge*Désherbage,Autorisé,1.5,L/ha,
BASTION,2010240,florasulame (Florasulam) 2.5 g/L | fluroxypyr-méptyl (Fluroxypyr) 144.1 g/L,Blé*Désherbage,Autorisé,1.5,L/ha,
BASTION,2010240,florasulame (Florasulam) 2.5 g/L | fluroxypyr-méptyl (Fluroxypyr) 144.1 g/L,Blé*Désherbage,Autorisé,1.5,L/ha,
SOUVERAIN OD,2150247,nicosulfuron (Nicosulfuron) 20.0 g/L | sulcotrione (Sulcotrione) 150.0 g/L,Maïs*Désherbage,Autorisé,2.0,L/ha,
SOUVERAIN OD,2150247,nicosulfuron (Nicosulfuron) 20.0 g/L | sulcotrione (Sulcotrione) 150.0 g/L,Maïs*Désherbage,Autorisé,1.0,L/ha,
ATIC AQUA,2090011,pendiméthaline (Pendimethalin) 455.0 g/L,Maïs*Désherbage,Autorisé,2.6,L/ha,120.0
ATIC AQUA,2090011,pendiméthaline (Pendimethalin) 455.0 g/L,Tournesol*Désherbage,Autorisé,2.6,L/ha,
ATIC AQUA,2090011,pendiméthaline (Pendimethalin) 455.0 g/L,Maïs*Désherbage,Autorisé,2.6,L/ha,90.0
ATIC AQUA,2090011,pendiméthaline (Pendimethalin) 455.0 g/L,Maïs*Désherbage,Autorisé,2.6,L/ha,90.0
ATIC AQUA,2090011,pendiméthaline (Pendimethalin) 455.0 g/L,Maïs*Désherbage,Autorisé,2.6,L/ha,120.0
ULTRALINE,2190883,prothioconazole (Prothioconazole) 250.0 g/L,Orge*Trt Part.Aer.*Fusarioses,Autorisé,0.8,L/ha,35.0
ULTRALINE,2190883,prothioconazole (Prothioconazole) 250.0 g/L,Orge*Trt Part.Aer.*Rhynchosporiose,Autorisé,0.8,L/ha,35.0
ULTRALINE,2190883,prothioconazole (Prothioconazole) 250.0 g/L,Orge*Trt Part.Aer.*Rouille(s),Autorisé,0.8,L/ha,35.0
ULTRALINE,2190883,prothioconazole (Prothioconazole) 250.0 g/L,Orge*Trt Part.Aer.*Oïdium(s),Autorisé,0.8,L/ha,35.0
ULTRALINE,2190883,prothioconazole (Prothioconazole) 250.0 g/L,Orge*Trt Part.Aer.*Piétin verse,Autorisé,0.8,L/ha,35.0
ULTRALINE,2190883,prothioconazole (Prothioconazole) 250.0 g/L,Orge*Trt Part.Aer.*Helminthosporiose et ramulariose,Autorisé,0.8,L/ha,35.0
ULTRALINE,2190883,prothioconazole (Prothioconazole) 250.0 g/L,Blé*Trt Part.Aer.*Fusarioses,Autorisé,0.8,L/ha,35.0
ULTRALINE,2190883,prothioconazole (Prothioconazole) 250.0 g/L,Blé*Trt Part.Aer.*Oïdium(s),Autorisé,0.8,L/ha,35.0
ULTRALINE,2190883,prothioconazole (Prothioconazole) 250.0 g/L,Blé*Trt Part.Aer.*Piétin verse,Autorisé,0.8,L/ha,35.0
ULTRALINE,2190883,prothioconazole (Prothioconazole) 250.0 g/L,Blé*Trt Part.Aer.*Rouille(s),Autorisé,0.8,L/ha,35.0
ULTRALINE,2190883,prothioconazole (Prothioconazole) 250.0 g/L,Blé*Trt Part.Aer.*Septoriose(s),Autorisé,0.8,L/ha,35.0
PROMAN,2150028,métobromuron (Metobromuron) 500.0 g/L,Tournesol*Désherbage,Autorisé,3.0,L/ha,
PULSAR 40,2090064,imazamox (Imazamox) 40.0 g/L,Tournesol*Désherbage,Autorisé,1.25,L/ha,90.0
PRIMERO,2130063,nicosulfuron (Nicosulfuron) 40.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,
ANTHOLOGY PRO,2250020,mésosulfuron-méthyl (Mesosulfuron) 10.0 g/L | iodosulfuron-méthyl-sodium (Iodosulfuron) 2.0 g/L | méfenpyr-diéthyl (Mefenpyr) 30.0 g/L,Blé*Désherbage,Autorisé,1.0,L/ha,
ANTHOLOGY PRO,2250020,mésosulfuron-méthyl (Mesosulfuron) 10.0 g/L | iodosulfuron-méthyl-sodium (Iodosulfuron) 2.0 g/L | méfenpyr-diéthyl (Mefenpyr) 30.0 g/L,Blé*Désherbage,Autorisé,1.5,L/ha,
JIVE,2220049,prothioconazole (Prothioconazole) 125.0 g/L | tébuconazole (Tebuconazole) 125.0 g/L,Orge*Trt Part.Aer.*Rouille(s),Autorisé,1.0,L/ha,35.0
